rental_id,apartment_type,location,renter_type,budget_range,preferred_style,recommended_furniture
1,Studio,Uptown,Young Professional,"$1,500–$2,500",Bohemian,"Colorful rug, Rattan chair, Macrame wall decor"
2,Studio,University District,Retiree,<$500,Traditional,"Antique dresser, Carved coffee table, Wooden armchairs"
3,Mini Flat,Marina,Expat,"$2,500+",Eco-Friendly,"Hemp rug, Bamboo dining set, Cork stool"
4,Studio,Old Town,Artist/Creative,"$1,000–$1,500",Bohemian,"Vintage sofa, Rattan chair, Colorful rug"
5,Studio,Downtown,Expat,"$1,500–$2,500",Eco-Friendly,"Recycled wood desk, Cork stool, Bamboo dining set"
6,Penthouse,Marina,Family,"$500–$1,000",Luxury Chic,"Smart TV unit, Crystal chandelier, Marble coffee table"
7,Studio,University District,Digital Nomad,<$500,Scandinavian,"White sofa, Floating TV stand, Oak coffee table"
8,Duplex,University District,Couple,<$500,Classic,"Ornate mirror, Velvet armchair, Mahogany desk"
9,1-Bedroom,Riverside,Couple,"$500–$1,000",Traditional,"Wooden armchairs, Classic oak dining table, Antique dresser"
10,Mini Flat,Uptown,Corporate Employee,"$500–$1,000",Modern Minimalist,"Futon sofa bed, Wall-mounted shelves, Minimalist coffee table"
11,Mini Flat,Lakeside,Digital Nomad,"$500–$1,000",Modern Minimalist,"Minimalist coffee table, Futon sofa bed, Foldable desk"
12,Duplex,Lakeside,Young Professional,"$1,500–$2,500",Modern Minimalist,"Wall-mounted shelves, Futon sofa bed, Minimalist coffee table"
13,2-Bedroom,Downtown,Artist/Creative,"$2,500+",Traditional,"Classic oak dining table, Wooden armchairs, Carved coffee table"
14,3-Bedroom,Suburbs,Student,"$1,500–$2,500",Bohemian,"Rattan chair, Macrame wall decor, Vintage sofa"
15,Loft,Uptown,Retiree,"$1,000–$1,500",Scandinavian,"Light wood dining set, Floating TV stand, White sofa"
16,1-Bedroom,Marina,Young Professional,<$500,Eco-Friendly,"Hemp rug, Recycled wood desk, Bamboo dining set"
17,2-Bedroom,Suburbs,Young Professional,"$1,500–$2,500",Eco-Friendly,"Cork stool, Hemp rug, Bamboo dining set"
18,1-Bedroom,Marina,Retiree,"$1,000–$1,500",Scandinavian,"Floating TV stand, Oak coffee table, White sofa"
19,Penthouse,Old Town,Student,<$500,Futuristic,"Floating shelves, Glass dining table, Ergonomic pod chair"
20,1-Bedroom,Suburbs,Retiree,"$1,000–$1,500",Eco-Friendly,"Recycled wood desk, Hemp rug, Cork stool"
21,2-Bedroom,Uptown,Retiree,<$500,Scandinavian,"Light wood dining set, Floating TV stand, White sofa"
22,3-Bedroom,Riverside,Couple,<$500,Eco-Friendly,"Recycled wood desk, Bamboo dining set, Hemp rug"
23,2-Bedroom,Lakeside,Young Professional,"$1,500–$2,500",Scandinavian,"White sofa, Light wood dining set, Floating TV stand"
24,3-Bedroom,Marina,Retiree,"$2,500+",Luxury Chic,"Leather sectional sofa, Crystal chandelier, Marble coffee table"
25,3-Bedroom,Marina,Artist/Creative,"$1,500–$2,500",Luxury Chic,"Crystal chandelier, Marble coffee table, Leather sectional sofa"
26,Duplex,Marina,Family,<$500,Modern Minimalist,"Foldable desk, Wall-mounted shelves, Futon sofa bed"
27,Loft,Downtown,Couple,"$1,500–$2,500",Industrial,"Iron bookshelf, Concrete coffee table, Leather bar stools"
28,Shared Apartment,Suburbs,Couple,<$500,Classic,"Ornate mirror, Mahogany desk, Upholstered bedframe"
29,Shared Apartment,Lakeside,Artist/Creative,"$1,000–$1,500",Eco-Friendly,"Hemp rug, Bamboo dining set, Cork stool"
30,Loft,Downtown,Retiree,"$500–$1,000",Luxury Chic,"Marble coffee table, Leather sectional sofa, Crystal chandelier"
31,2-Bedroom,City Center,Expat,<$500,Bohemian,"Rattan chair, Vintage sofa, Colorful rug"
32,1-Bedroom,Marina,Corporate Employee,"$1,500–$2,500",Classic,"Mahogany desk, Ornate mirror, Upholstered bedframe"
33,2-Bedroom,City Center,Digital Nomad,<$500,Traditional,"Wooden armchairs, Classic oak dining table, Antique dresser"
34,3-Bedroom,University District,Young Professional,"$1,000–$1,500",Modern Minimalist,"Futon sofa bed, Foldable desk, Wall-mounted shelves"
35,Mini Flat,Riverside,Family,"$1,500–$2,500",Modern Minimalist,"Wall-mounted shelves, Foldable desk, Futon sofa bed"
36,Shared Apartment,Lakeside,Expat,"$1,500–$2,500",Bohemian,"Rattan chair, Vintage sofa, Colorful rug"
37,Duplex,University District,Corporate Employee,"$1,000–$1,500",Bohemian,"Rattan chair, Macrame wall decor, Colorful rug"
38,2-Bedroom,Uptown,Student,"$1,000–$1,500",Futuristic,"LED smart desk, Glass dining table, Floating shelves"
39,Shared Apartment,University District,Retiree,"$1,500–$2,500",Industrial,"Concrete coffee table, Metal frame bed, Iron bookshelf"
40,Mini Flat,City Center,Couple,"$2,500+",Luxury Chic,"Leather sectional sofa, Smart TV unit, Crystal chandelier"
41,Penthouse,University District,Retiree,"$500–$1,000",Futuristic,"LED smart desk, Floating shelves, Glass dining table"
42,3-Bedroom,Old Town,Digital Nomad,"$1,500–$2,500",Traditional,"Wooden armchairs, Antique dresser, Carved coffee table"
43,Penthouse,Lakeside,Expat,<$500,Industrial,"Leather bar stools, Iron bookshelf, Metal frame bed"
44,Mini Flat,Suburbs,Couple,"$1,000–$1,500",Modern Minimalist,"Minimalist coffee table, Foldable desk, Wall-mounted shelves"
45,Shared Apartment,Suburbs,Retiree,"$1,500–$2,500",Classic,"Upholstered bedframe, Velvet armchair, Mahogany desk"
46,2-Bedroom,City Center,Couple,"$2,500+",Eco-Friendly,"Hemp rug, Bamboo dining set, Recycled wood desk"
47,Loft,Old Town,Couple,"$500–$1,000",Traditional,"Carved coffee table, Classic oak dining table, Antique dresser"
48,Duplex,Marina,Student,"$2,500+",Scandinavian,"Oak coffee table, White sofa, Floating TV stand"
49,2-Bedroom,Suburbs,Couple,"$1,500–$2,500",Industrial,"Leather bar stools, Metal frame bed, Iron bookshelf"
50,3-Bedroom,Riverside,Artist/Creative,<$500,Modern Minimalist,"Wall-mounted shelves, Futon sofa bed, Minimalist coffee table"
51,Mini Flat,City Center,Digital Nomad,"$2,500+",Industrial,"Metal frame bed, Concrete coffee table, Leather bar stools"
52,2-Bedroom,University District,Corporate Employee,"$2,500+",Eco-Friendly,"Bamboo dining set, Cork stool, Hemp rug"
53,Duplex,Suburbs,Corporate Employee,"$2,500+",Industrial,"Metal frame bed, Leather bar stools, Concrete coffee table"
54,Studio,Riverside,Couple,"$1,000–$1,500",Traditional,"Wooden armchairs, Antique dresser, Classic oak dining table"
55,Studio,Tech Hub,Couple,"$1,000–$1,500",Luxury Chic,"Crystal chandelier, Marble coffee table, Smart TV unit"
56,Loft,University District,Student,"$2,500+",Eco-Friendly,"Cork stool, Recycled wood desk, Bamboo dining set"
57,Loft,Old Town,Artist/Creative,"$2,500+",Eco-Friendly,"Hemp rug, Bamboo dining set, Recycled wood desk"
58,Penthouse,Old Town,Young Professional,"$1,000–$1,500",Modern Minimalist,"Wall-mounted shelves, Futon sofa bed, Minimalist coffee table"
59,3-Bedroom,Downtown,Family,<$500,Luxury Chic,"Marble coffee table, Smart TV unit, Leather sectional sofa"
60,Duplex,Suburbs,Artist/Creative,<$500,Traditional,"Classic oak dining table, Carved coffee table, Antique dresser"
61,1-Bedroom,Old Town,Artist/Creative,"$1,000–$1,500",Industrial,"Concrete coffee table, Metal frame bed, Leather bar stools"
62,3-Bedroom,Marina,Couple,<$500,Traditional,"Wooden armchairs, Carved coffee table, Classic oak dining table"
63,Duplex,Lakeside,Retiree,<$500,Traditional,"Wooden armchairs, Classic oak dining table, Carved coffee table"
64,Duplex,Suburbs,Retiree,"$500–$1,000",Traditional,"Classic oak dining table, Antique dresser, Wooden armchairs"
65,Loft,Marina,Young Professional,"$1,500–$2,500",Traditional,"Wooden armchairs, Antique dresser, Carved coffee table"
66,3-Bedroom,Lakeside,Corporate Employee,"$500–$1,000",Eco-Friendly,"Cork stool, Bamboo dining set, Hemp rug"
67,Studio,Marina,Family,"$1,000–$1,500",Eco-Friendly,"Recycled wood desk, Hemp rug, Cork stool"
68,Shared Apartment,Suburbs,Couple,<$500,Bohemian,"Rattan chair, Colorful rug, Macrame wall decor"
69,Shared Apartment,Lakeside,Artist/Creative,"$1,000–$1,500",Classic,"Mahogany desk, Upholstered bedframe, Ornate mirror"
70,2-Bedroom,Riverside,Student,"$1,500–$2,500",Industrial,"Concrete coffee table, Metal frame bed, Iron bookshelf"
71,Shared Apartment,Uptown,Couple,"$1,500–$2,500",Eco-Friendly,"Hemp rug, Recycled wood desk, Bamboo dining set"
72,Penthouse,City Center,Couple,"$1,500–$2,500",Luxury Chic,"Smart TV unit, Crystal chandelier, Leather sectional sofa"
73,3-Bedroom,Old Town,Artist/Creative,"$2,500+",Luxury Chic,"Leather sectional sofa, Smart TV unit, Crystal chandelier"
74,1-Bedroom,Uptown,Student,"$1,000–$1,500",Classic,"Velvet armchair, Ornate mirror, Mahogany desk"
75,Shared Apartment,University District,Expat,"$2,500+",Modern Minimalist,"Minimalist coffee table, Wall-mounted shelves, Foldable desk"
